measure,human_mean,human_std,robot_mean,robot_std,U,p,cohens_d
Mean Distance (m),1.305973411003041,0.27099322841701584,1.4398161841406258,0.2119642262794966,4903.0,0.00035579266134604863,-0.5027627049624139
Min Distance (m),1.1571971383825201,0.2642593900394073,1.2724425261467243,0.21921426719175455,5195.0,0.0015220145274793759,-0.44236255084342163
Mean Orientation Angle (°),129.18400181692874,17.2676345365807,119.9466156023067,10.132954656482065,10279.0,0.00014476548785656842,0.5514808906229446
Angle Change (°),-8.53354584308685,21.739850152267795,-9.11547907406203,19.26001524359569,7346.0,0.8252638808095277,0.027031139655628558
