trial_id,condition,PC1,PC2
human_Group1_10.csv,human,1.6279541356796723,1.7181480486448517
human_Group1_11.csv,human,0.7432292494835003,1.6534833128086692
human_Group1_12.csv,human,-0.8248223210290416,1.4660963912128568
human_Group1_13.csv,human,-0.7543264799378473,0.727357644532688
human_Group1_14.csv,human,-1.4414722813461722,1.7173691716248483
human_Group1_15.csv,human,-0.5527242124385778,1.4229316309645397
human_Group1_16.csv,human,-1.3306056101569004,0.060219079030760056
human_Group1_19.csv,human,0.064747693262298,1.2277456481757092
human_Group1_21.csv,human,-0.28281749472404843,2.7589146535781865
human_Group1_22.csv,human,0.5049423558804681,1.7019283428113376
human_Group1_23.csv,human,0.7545320557919662,2.463502521378419
human_Group1_24.csv,human,0.36360738643347656,-2.2112205545859265
human_Group1_25.csv,human,0.22212984584589257,1.093725266647945
human_Group1_26.csv,human,-0.10283838271758573,0.6105363401086502
human_Group1_27.csv,human,-1.0333728292112705,0.7602469070348425
human_Group1_28.csv,human,0.34071420314855355,0.6261096556872601
human_Group1_3.csv,human,1.30682482574556,-0.07962391571633774
human_Group1_30.csv,human,-0.08867457177854525,1.1433139840412911
human_Group1_31.csv,human,-0.744211049636552,1.2900394116710832
human_Group1_32.csv,human,-0.07810170317996534,-0.4801753875469167
human_Group1_33.csv,human,-0.17880771056830141,2.791067978696076
human_Group1_35.csv,human,0.0548927443405503,2.6211644936982577
human_Group1_36.csv,human,-1.047866513153336,-1.9081312238231554
human_Group1_37.csv,human,-0.5007455371324745,-1.5849589100069308
human_Group1_38.csv,human,0.2533252571575354,0.08950451122033572
human_Group1_39.csv,human,1.2417721581576886,-0.7205960362064121
human_Group1_40.csv,human,0.47113939113682685,-0.3986030377105624
human_Group1_42.csv,human,0.2593101061145168,0.4209705372616528
human_Group1_5.csv,human,4.351110057914928,0.7352782289555996
human_Group1_7.csv,human,3.1308643865040042,1.0436728971712144
human_Group1_8.csv,human,2.630534512850915,1.0409371904181466
human_Group1_9.csv,human,1.8565621958757355,0.9752664067257941
human_Group1_g.csv,human,3.355557394167146,2.4217086889964343
human_Group1_wo.csv,human,0.9888421833687121,-0.42734052305075104
human_Group10_1.csv,human,3.0600914263616406,-0.04578344700295161
human_Group10_11.csv,human,-0.22344819723286188,-0.8405504106398554
human_Group10_12.csv,human,-0.3706783963965785,-1.580899163902855
human_Group10_13.csv,human,-1.5251829704630053,-1.2060511200027135
human_Group10_14.csv,human,-0.6105560754454642,0.03696463351782862
human_Group10_2.csv,human,1.2672416782619478,-0.17313503961554755
human_Group10_21.csv,human,-1.1513167806580784,-0.06500567588680997
human_Group10_22.csv,human,0.35004146210820863,3.6912995619298234
human_Group10_3.csv,human,3.1176465655551513,-0.3900130050650792
human_Group10_31.csv,human,-0.5134002448452202,-0.446852741062838
human_Group10_4.csv,human,1.862252619911132,-0.10564088487521221
human_Group10_5.csv,human,0.7954801683304642,0.0982758668464145
human_Group10_6.csv,human,1.0164628137297504,-0.37548616482550806
human_Group10_7.csv,human,0.8909791541987266,1.0110247863124913
human_Group10_8.csv,human,3.419497174161656,0.34136004590063596
human_Group10_9.csv,human,3.114991901131772,-0.02556459234849709
human_Group2_1.csv,human,-0.6943902860420839,-1.1699275880831352
human_Group2_10.csv,human,-0.7514316769942863,-0.8465954511158098
human_Group2_11.csv,human,-0.6068321026391438,-0.9817393556131997
human_Group2_12.csv,human,-1.2155127528942473,1.072204716206036
human_Group2_13.csv,human,-1.3831064258677186,-0.17840725488584022
human_Group2_14.csv,human,-0.4041906943959269,-0.6068950927123395
human_Group2_15.csv,human,-2.0124774280243773,-0.019511041391054692
human_Group2_16.csv,human,-1.770812328148936,-1.4038398256499494
human_Group2_17.csv,human,-1.4146669773163576,0.08861406673213228
human_Group2_18.csv,human,-2.1736252807184875,-1.031871480294187
human_Group2_19.csv,human,-1.6178830128721347,0.8337840152845074
human_Group2_2.csv,human,1.8321920351403211,-0.7634319613566433
human_Group2_20.csv,human,-0.7587052208546522,-0.30228830739734935
human_Group2_21.csv,human,-1.5914008153960608,-1.2936684411414319
human_Group2_22.csv,human,-0.8462793284064761,0.6878442934425205
human_Group2_23.csv,human,-0.5879500332221265,-0.9838583173349842
human_Group2_24.csv,human,-1.2922499321643084,1.1763795233263756
human_Group2_25.csv,human,-1.5625370494633826,-0.46362231360263023
human_Group2_26.csv,human,-0.748576900281157,-0.5159981367509219
human_Group2_27.csv,human,-1.304166193576975,-0.8843383794056242
human_Group2_28.csv,human,-1.3616816337408337,-0.8256239850200028
human_Group2_29.csv,human,0.23340027955496304,-0.5003706252031258
human_Group2_3.csv,human,0.8919694512703713,-0.8103511272158682
human_Group2_30.csv,human,0.19600186055217728,-0.7980217656027779
human_Group2_31.csv,human,0.1615178585355947,-0.036734606771726894
human_Group2_32.csv,human,-0.7072463173235106,0.319043688970486
human_Group2_33.csv,human,-0.580849919555356,-0.9427056106634433
human_Group2_34.csv,human,-1.3181273242101958,1.2490828688660511
human_Group2_35.csv,human,0.5604296300816917,-0.6855268367246907
human_Group2_36.csv,human,-0.6004190560600915,1.0478118117361848
human_Group2_37.csv,human,-0.7409755913229246,-0.9820462090867087
human_Group2_38.csv,human,-0.7885603259119197,0.8006954070122846
human_Group2_39.csv,human,-0.16867384362906823,-1.4880627009505139
human_Group2_4.csv,human,0.9713824324487224,-0.7669055706946504
human_Group2_40.csv,human,-0.0316572787858176,-1.312777726979693
human_Group2_41.csv,human,-1.3708215786850768,0.6713716644478199
human_Group2_42.csv,human,0.503250560046957,-0.23380366172044667
human_Group2_5.csv,human,0.1031920648365445,-1.0746440570440308
human_Group2_6.csv,human,0.7541681301915404,-1.018971355126665
human_Group2_7.csv,human,0.4596126302300715,-1.0368565203474336
human_Group2_8.csv,human,1.7512734915804407,-0.7907284062771767
human_Group2_9.csv,human,1.5482798259207686,-0.7334968785891297
human_Group3_1.csv,human,1.022641648286978,-0.4135841389400577
human_Group3_10.csv,human,1.0481141716911793,-0.6004667681769219
human_Group3_11.csv,human,-0.14969446101839431,1.3567799088980563
human_Group3_12.csv,human,-1.5709193187620134,0.7587794072055759
human_Group3_13.csv,human,-0.46275911140252857,-1.1439255010096947
human_Group3_14.csv,human,-0.7554767896580702,0.06132225133516415
human_Group3_15.csv,human,-0.499479057517802,-1.5484008402954956
human_Group3_16.csv,human,-0.6291550294774607,-0.3907008445380387
human_Group3_17.csv,human,0.7996134195232831,-0.8954963631731236
human_Group3_18.csv,human,-0.9521878139694753,0.17719400401400137
human_Group3_19.csv,human,0.17706854144103856,-1.2123964215819754
human_Group3_2.csv,human,2.067123380503296,-0.1424075898489344
human_Group3_20.csv,human,-0.41041564385576296,-0.4605468672204617
human_Group3_21.csv,human,-1.3622343059353024,2.258808825822426
human_Group3_22.csv,human,-0.5243589930502618,1.929207226975882
human_Group3_23.csv,human,-0.7969739419416224,0.02223587857982619
human_Group3_24.csv,human,-1.626949983077193,3.0605793563090433
human_Group3_25.csv,human,-0.6129406801201255,2.035964213987572
human_Group3_26.csv,human,-2.120097032619922,1.8651327654691887
human_Group3_27.csv,human,-1.602143294519224,0.14394731488458248
human_Group3_28.csv,human,-1.5834571735165697,-1.1819258463826186
human_Group3_29.csv,human,-0.3857050333679504,-0.9478555515219447
human_Group3_3.csv,human,1.168311128609068,0.0976981142200104
human_Group3_30.csv,human,-1.3459355482669146,1.2717774590730098
human_Group3_31.csv,human,-1.0152655306732747,-0.2958823264486882
human_Group3_32.csv,human,0.2737746953641271,-0.6036014854361574
human_Group3_33.csv,human,0.33749168441944805,-1.5514149241575939
human_Group3_34.csv,human,0.025153268290560228,-1.2567177275447892
human_Group3_35.csv,human,0.7302142674863136,-1.7634347914059367
human_Group3_36.csv,human,-0.04080012385604574,0.5187654483641252
human_Group3_37.csv,human,-0.0637095050473172,-1.6040711190060297
human_Group3_38.csv,human,-1.089792983736416,-0.46437863954039393
human_Group3_39.csv,human,-1.0151045562908831,-1.3357430689932381
human_Group3_4.csv,human,0.7690953682446003,0.20967342166841246
human_Group3_40.csv,human,-1.6262951552231268,-1.2952206120633685
human_Group3_41.csv,human,-0.5118172946903508,0.7093126239569855
human_Group3_42.csv,human,-0.8348332263382583,-0.573964847177164
human_Group3_5.csv,human,1.6619733463166646,-0.6870623161765611
human_Group3_6.csv,human,1.3572563017976174,-0.6901945698884453
human_Group3_7.csv,human,1.2507572127506112,-0.3639672078045928
human_Group3_8.csv,human,0.6602812700636521,-0.6244954118762502
human_Group3_9.csv,human,2.6164879719471474,-0.47944918631919825
human_Group4_1.csv,human,-0.6960805999766633,-0.8479877864921535
human_Group4_10.csv,human,1.4446960825790938,-0.11235453647922777
human_Group4_11.csv,human,0.4618974912509918,-0.49904428206632034
human_Group4_12.csv,human,-0.7227762924196,1.021213322633673
human_Group4_13.csv,human,0.3885493337496906,0.9414658167237132
human_Group4_14.csv,human,0.4672548947805351,0.000616015549437802
human_Group4_15.csv,human,-0.6697429562011662,0.6153342665993251
human_Group4_16.csv,human,0.47613815985110947,-1.4637950107163362
human_Group4_17.csv,human,1.8012083771930827,-1.502540995199205
human_Group4_18.csv,human,-0.09756555797020758,0.5795718709738324
human_Group4_19.csv,human,-0.9791689863878545,1.2362086007125157
human_Group4_2.csv,human,0.3480516965044941,-0.18210875749536284
human_Group4_20.csv,human,-0.5283688969383686,-0.924959609200886
human_Group4_21.csv,human,-1.3225045932429997,1.9230064100253281
human_Group4_22.csv,human,-0.3142035365303083,0.33153682778893656
human_Group4_23.csv,human,-1.0062641792510678,0.017430964495147323
human_Group4_24.csv,human,-0.3081587747283617,-0.2927229819981518
human_Group4_25.csv,human,-1.002824750910665,-0.7999703672696714
human_Group4_26.csv,human,-1.1368005708346651,-1.5180523622106998
human_Group4_27.csv,human,0.05138311300403764,-0.11776246732087836
human_Group4_28.csv,human,-0.6231316831777973,-1.6275867336428413
human_Group4_29.csv,human,-0.20138667392482293,0.9777894907289595
human_Group4_3.csv,human,-0.6537053215209865,-0.5581322657129797
human_Group4_30.csv,human,-1.1462541699984437,1.1692886337020603
human_Group4_31.csv,human,-1.2319452935962063,-0.011352854665212311
human_Group4_32.csv,human,-1.0238055413216878,-1.012546999752269
human_Group4_33.csv,human,-1.3811995746933532,0.35929002260329373
human_Group4_34.csv,human,-1.2789295395055114,0.48174043465134786
human_Group4_35.csv,human,-0.8703286866726716,0.7579443747105878
human_Group4_36.csv,human,-0.5691574874812375,-1.8195383274451757
human_Group4_37.csv,human,-0.3992413012598042,0.5814343729561368
human_Group4_38.csv,human,0.06758959531926735,-1.226337730361036
human_Group4_39.csv,human,-0.11549421986524165,-0.7729069844561849
human_Group4_4.csv,human,-0.3555943613382252,-0.9222206607669121
human_Group4_40.csv,human,-1.061553058379358,-1.2220448277770837
human_Group4_41.csv,human,-1.3546401838910618,-1.4547283984604948
human_Group4_42.csv,human,-0.40838251972230183,-0.005999237687877804
human_Group4_5.csv,human,0.534039139356341,-0.3317090674060051
human_Group4_6.csv,human,0.9756538925376074,-0.6382154050064393
human_Group4_7.csv,human,0.13480250740785885,-0.5501586527764479
human_Group4_8.csv,human,0.6766358344220968,-0.5360324412904995
human_Group4_9.csv,human,1.1572162324039643,-0.4765579951468245
human_Group5_1.csv,human,0.5479903202476822,-0.28662408704586995
human_Group5_10.csv,human,1.4905384975407372,0.2942761927519194
human_Group5_12.csv,human,0.615203835024429,0.9326787230675274
human_Group5_13.csv,human,-0.08246486546275994,0.6550190477837184
human_Group5_14.csv,human,-1.240128257753944,-0.8420352770519269
human_Group5_15.csv,human,0.10872337936797902,-0.6660088569579612
human_Group5_16.csv,human,-0.42412631236392156,0.36375702990368985
human_Group5_17.csv,human,-1.2563597654311174,1.8037057290226794
human_Group5_18.csv,human,-1.4183390495731203,0.5786899470179002
human_Group5_19.csv,human,-0.9618909295391475,-1.5944932382645012
human_Group5_2.csv,human,1.571843543202262,-0.10420765438177497
human_Group5_20.csv,human,-0.25628202103029474,-1.3315081720294437
human_Group5_21.csv,human,-0.42812055534183574,0.44761375626542543
human_Group5_22.csv,human,-1.5846151206286834,-2.011032506484362
human_Group5_23.csv,human,-1.3713091400762583,-1.7658070515918773
human_Group5_24.csv,human,-1.4411188717272951,2.6005883902898725
human_Group5_25.csv,human,-1.6373752807794963,1.2572890415480549
human_Group5_26.csv,human,-1.2544705987200393,1.8662656113643525
human_Group5_27.csv,human,-1.4576969302179636,0.6496793480172041
human_Group5_28.csv,human,-1.2565254811417623,1.835418540853762
human_Group5_29.csv,human,-0.5718419904356257,1.7607623714338816
human_Group5_3.csv,human,1.2479149970656331,-0.20843066565879814
human_Group5_30.csv,human,-1.7074524229099457,1.0132893106128507
human_Group5_31.csv,human,-1.3979072348743826,-1.9694582280135355
human_Group5_32.csv,human,-0.5505101852563555,0.9372927452201663
human_Group5_33.csv,human,-0.7870955564393807,1.7085072090901638
human_Group5_34.csv,human,-0.9085315725816743,1.8433531345274448
human_Group5_35.csv,human,-0.818842812337194,0.5796362735063946
human_Group5_36.csv,human,-1.2929336998350534,-1.669501552847258
human_Group5_37.csv,human,-1.51348142602687,-0.7792815613991179
human_Group5_38.csv,human,-0.7782025252542081,-0.18233905256735403
human_Group5_39.csv,human,-0.7779868497226584,0.2169872877065479
human_Group5_4.csv,human,1.5391257564113392,0.2563273761966797
human_Group5_40.csv,human,-1.2761379538880435,1.4201372907861827
human_Group5_41.csv,human,-1.3008107804212432,0.13779217095270135
human_Group5_42.csv,human,-1.9314090620627302,0.6051196405269502
human_Group5_5.csv,human,1.3462158815111314,0.10672326813854473
human_Group5_6.csv,human,1.366999732363197,0.3638352150392615
human_Group5_7.csv,human,1.2969453150974601,0.1660665848058875
human_Group5_8.csv,human,0.5714434864871456,0.10328103337089677
human_Group5_9.csv,human,1.3542646055901482,0.5512849884973632
human_Group6_1.csv,human,0.7715235851745734,-0.4636093478965299
